STT,Symbol,Maximum Foreign Ownership,Maximum Amount of Foreign Ownership,Current Foreign Ownership,% Foreign Ownership,Available for Foreign Investors,
366,LGL,0.49,25235000,847979,0.02,24387021,
367,LHG,0.49,24505884,8427839,0.17,16078045,
368,LIX,0.49,15876000,2706365,0.08,13169635,
369,LM8,0.00,0,168541,0.02,-168541,
370,LPB,0.05,75179299,75161899,0.05,174,
371,LSS,0.00,0,774172,0.01,-774172,
372,MBB,0.23,877896843,877896843,0.23,0,
373,MCG,0.49,28179900,268109,0.00,27911791,
374,MCP,0.49,7384955,24794,0.00,7360161,
375,MDG,0.49,5335625,14,0.00,5334225,
376,MHC,0.49,20289412,1029370,0.02,19260042,
377,MIG,1.00,164450000,13785508,0.08,150664492,
378,MSB,0.30,458250000,458216796,0.30,33204,
379,MSH,0.49,36756909,5350145,0.07,31406764,
380,MSN,0.49,697625143,410566238,0.29,287058905,
381,MWG,0.49,717414527,717411001,0.49,3526,
382,NAF,1.00,62923085,15738985,0.25,47184100,
383,NAV,0.49,3920000,71317,0.01,3848683,
384,NBB,0.49,49233071,1455681,0.01,47777390,
385,NCG,0.00,0,13253200,0.11,-13253200,(*)
386,NCT,0.30,7850082,3086043,0.12,4764039,
387,NHA,0.49,20665514,293159,0.01,20372355,
388,NHH,1.00,72880000,452842,0.01,72427158,
389,NHT,0.50,9244448,1012305,0.05,8232143,
390,NKG,0.50,131638903,18296682,0.07,113342221,
391,NLG,0.50,191470006,150815691,0.39,40654315,
392,NNC,0.49,10740800,1616428,0.07,9124372,
393,NO1,0.00,0,0,0.00,0,(*)
394,NSC,0.49,8617624,1634932,0.09,6982692,
395,NT2,0.49,141059254,41088984,0.14,99970270,
396,NTL,0.49,29885075,7528370,0.12,22356705,
397,NVL,0.49,955418566,114041565,0.06,841377001,
398,NVT,1.00,90500000,4489,0.00,90455110,
399,OCB,0.22,301374229,298086108,0.22,3288121,
400,OGC,0.49,147000000,482848,0.00,146517152,
401,OPC,0.00,0,220132,0.01,-220132,
402,ORS,0.49,98000000,1049233,0.01,96950767,
403,PAC,0.49,22771136,5947192,0.13,16823944,
404,PAN,0.49,106015704,20725843,0.10,85289861,
405,PC1,0.50,117579824,11104394,0.05,106475430,
406,PDN,0.00,0,76764,0.00,-76764,
407,PDR,0.49,329106647,16685374,0.02,312421273,
408,PET,0.00,0,1871766,0.02,-1871766,
409,PGC,0.49,29567892,2610289,0.04,26957603,
410,PGD,0.49,44099522,41781813,0.46,2317709,
411,PGI,1.00,110896796,22892335,0.21,88004461,
412,PGV,0.50,561734023,1953,0.00,561538723,
413,PHC,0.50,25340963,739288,0.01,24601675,
414,PHR,0.49,66394607,19103941,0.14,47290666,
415,PIT,0.49,7447679,120861,0.01,7326818,
416,PJT,0.00,0,288603,0.01,-288603,
417,PLP,0.49,29400000,1140616,0.02,28259384,
418,PLX,0.20,258775616,223344816,0.17,35430800,
419,PMG,0.49,22704776,11667011,0.25,11037765,
420,PNC,0.49,5409718,87242,0.01,5322476,
421,PNJ,0.49,118880057,118879157,0.49,900,
422,POM,0.49,137041404,22171976,0.08,114869428,
423,POW,0.49,1147517084,52960597,0.02,1094556487,
424,PPC,0.49,159855150,43794233,0.13,116060917,
425,PSH,0.00,0,100,0.00,-100,
426,PTB,0.49,33338817,12073255,0.18,21265562,
427,PTC,0.50,16153662,394842,0.01,15758820,
428,PTL,0.49,49000000,336661,0.00,48663339,
429,PVD,0.49,247825736,22771432,0.05,225054304,
430,PVT,0.49,158589110,43460527,0.13,115128583,
431,QBS,0.00,0,70,0.00,-70,
432,QCG,0.49,134813361,1723473,0.01,133089888,
433,RAL,0.50,11473709,77782,0.03,10695889,
434,RDP,0.50,24534901,146192,0.00,24388709,
435,REE,0.49,174641137,174641087,0.49,50,
436,ROS,0.49,278123079,11727124,0.02,266395955,
437,S4A,0.49,20678000,2888,0.00,20649120,
438,SAB,1.00,641281186,402326857,0.63,238954329,
439,SAM,0.49,179023001,3109834,0.01,175913167,
440,SAV,0.49,8997955,8017011,0.44,980944,
441,SBA,0.49,29639247,222552,0.00,29416695,
442,SBT,1.00,650762228,72793950,0.11,577968278,
443,SBV,1.00,27366476,4052506,0.15,23313970,
444,SC5,0.49,7342429,610526,0.04,6731903,
445,SCD,0.49,4165000,58386,0.07,3581140,
446,SCR,0.49,179514588,2722127,0.01,176792461,
447,SCS,0.30,17380710,15625452,0.27,1755258,
448,SFC,0.49,5532814,100685,0.01,5432129,
449,SFG,0.49,23469693,336949,0.01,23132744,
450,SFI,0.49,7719003,1399351,0.09,6319652,
451,SGN,0.30,10074507,805453,0.02,9269054,
452,SGR,0.49,29400000,3274,0.00,29396726,
453,SGT,0.00,0,8264971,0.11,-8264971,
454,SHA,0.49,16388870,293914,0.01,16094956,
455,SHB,0.30,800210939,107175185,0.04,693035754,
456,SHI,0.49,73592077,294547,0.00,73297530,
457,SHP,0.49,49591112,5251883,0.05,44339229,
458,SII,0.49,31615830,31571647,0.49,44183,
459,SJD,0.49,33809323,9691787,0.14,24117536,
460,SJF,0.49,38808000,551614,0.01,38256386,
461,SJS,0.50,57427770,1040666,0.01,56387104,
462,SKG,0.49,31032550,22124465,0.35,8908085,
463,SMA,0.49,9972889,12503,0.00,9960386,
464,SMB,0.49,14624857,3828362,0.13,10796495,
465,SMC,0.00,0,15097443,0.21,-15097443,
466,SPM,0.49,6860000,26948,0.02,6590520,
467,SRC,0.49,13752224,2929,0.00,13722934,
468,SRF,1.00,35566780,16637568,0.47,18929212,
469,SSB,0.05,99044913,3412394,0.00,95632519,
470,SSC,0.49,7346259,173391,0.01,7172868,
471,SSI,1.00,994750022,333885671,0.34,660864351,
472,ST8,0.49,12603241,12610992,0.49,-7751,
473,STB,0.30,565564714,414988290,0.22,150576424,
474,STG,0.49,48144144,73684,0.00,48070460,
475,STK,1.00,70726944,9098667,0.13,61628277,
476,SVC,0.49,16327060,634146,0.02,15692914,
477,SVD,0.49,12642000,779,0.00,12564100,
478,SVI,1.00,12832437,12174303,0.95,658134,
479,SVT,0.50,7526684,193304,0.01,7333380,
480,SZC,0.49,49000000,2115910,0.02,46884090,
481,SZL,0.00,0,3478080,0.17,-3478080,
482,TBC,0.49,31115000,486484,0.01,30628516,
483,TCB,0.22,788986817,788986817,0.22,0,
484,TCD,0.49,109964968,804837,0.00,109160131,
