STT,Symbol,Maximum Foreign Ownership,Maximum Amount of Foreign Ownership,Current Foreign Ownership,% Foreign Ownership,Available for Foreign Investors
345,RIC,0.49,14067002,9126581,0.32,4940421
346,ROS,0.49,278123079,13431962,0.02,264691117
347,S4A,0.49,20678000,2838,0.00,20649620
348,SAB,1.00,641281186,402526337,0.63,238754849
349,SAM,0.49,171498623,2775679,0.01,168722944
350,SAV,0.49,7849783,6964238,0.43,885545
351,SBA,0.49,29639247,141718,0.00,29497529
352,SBT,1.00,638769480,76434483,0.12,562334997
353,SBV,0.49,13409573,4132739,0.15,9276834
354,SC5,0.49,7342429,634154,0.04,6708275
355,SCD,0.49,4165000,65146,0.01,3513540
356,SCR,0.49,179514588,5449776,0.01,174064812
357,SCR11816,1.00,4700000,0,0.00,4700000
358,SCS,0.49,28388493,15228409,0.26,13160084
359,SFC,0.49,5532814,100471,0.01,5432343
360,SFG,0.49,23469693,357171,0.01,23112522
361,SFI,0.49,7719003,1468839,0.09,6250164
362,SGN,0.30,10074507,727086,0.02,9347421
363,SGR,0.49,29400000,3075,0.00,29396925
364,SGT,0.49,36260937,8552793,0.12,27708144
365,SHA,0.49,15608448,1445,0.00,15463948
366,SHI,0.49,44798704,53148,0.00,44267224
367,SHP,0.49,45917998,4870694,0.05,41047304
368,SII,0.49,31615830,31614337,0.49,1493
369,SJD,0.49,33809323,15382996,0.22,18426327
370,SJF,0.49,38808000,1335114,0.02,37472886
371,SJS,0.49,56279214,1456231,0.01,54822983
372,SKG,0.49,31032550,28412341,0.45,2620209
373,SMA,0.49,9972889,7983,0.00,9964906
374,SMB,0.49,14624857,3719812,0.12,10905045
375,SMC,0.49,29887398,13450985,0.22,16436413
376,SPM,0.49,6860000,39555,0.00,6464450
377,SRC,0.49,13752224,2449,0.00,13727734
378,SRF,0.49,15922744,15234538,0.47,688206
379,SSB,0.00,0,89,0.00,-89
380,SSI,1.00,657305104,316848061,0.48,340457043
381,ST8,0.49,12603241,12619288,0.49,-16047
382,STB,0.30,565564714,266261420,0.14,299303294
383,STG,0.49,48144144,65584,0.00,48078560
384,STK,0.49,34656202,8627196,0.12,26029006
385,SVC,0.49,16327060,644237,0.02,15682823
386,SVD,0.49,6321000,1096,0.00,6211400
387,SVI,1.00,12832437,12161705,0.95,670732
388,SVT,0.49,5673991,866,0.00,5673125
389,SZC,0.49,49000000,4312400,0.04,44687600
390,SZL,0.49,9800000,3613130,0.18,6186870
391,TAC,0.49,16601027,1203697,0.04,15397330
392,TBC,0.49,31115000,336884,0.01,30778116
393,TCB,0.22,788281450,788281450,0.22,0
394,TCD,0.49,42732484,95869,0.00,42636615
395,TCH,0.51,203579629,52556170,0.13,151023459
396,TCL,0.49,14777633,1160608,0.04,13617025
