STT,Symbol,Maximum Foreign Ownership,Maximum Amount of Foreign Ownership,Current Foreign Ownership,% Foreign Ownership,Available for Foreign Investors,,,
356,SAV,49%,7849783,6946831,180.6063444,902952,,,
357,SBA,49%,29639247,152918,1.052919971,29486329,,,
358,SBT,100%,638769480,73758853,11.5470221,565010627,,,
359,SBV,49%,13409573,4141239,63.02593053,9268334,,,
360,SC5,49%,7342429,634852,17.64560919,6707577,,,
361,SCD,49%,4165000,653860,32.03861136,3511140,,,
362,SCR,49%,179514588,5873066,6.676810566,173641522,,,
363,SCR11816,100%,4700000,0,0,4700000,,,
364,SCS,49%,28388493,15149959,108.9113243,13238534,,,
365,SFC,49%,5532814,100371,3.702253058,5432443,,,
366,SFG,49%,23469693,358871,3.120576805,23110822,,,
367,SFI,49%,7719003,1486539,39.30239516,6232464,,,
368,SGN,30%,10074507,707486,23.40845727,9367021,,,
369,SGR,49%,29400000,3075,0.021345273,29396925,,,
370,SGT,49%,36260937,8979809,50.53962289,27281128,,,
371,SHA,49%,15608448,141000,1.843585615,15467448,,,
372,SHI,49%,44798704,605680,2.759190607,44193024,,,
373,SHP,49%,45917998,4870994,21.64903636,41047004,,,
374,SII,49%,31615830,31586637,203.8931905,29193,,,
375,SJD,49%,33809323,15297286,92.33829089,18512037,,,
376,SJF,49%,38808000,1538514,8.090662981,37269486,,,
377,SJS,49%,56279214,1440291,5.222833048,54838923,,,
378,SKG,49%,31032550,27829941,183.0200804,3202609,,,
379,SMA,49%,9972889,7983,0.163361256,9964906,,,
380,SMB,49%,14624857,3722511,51.94554193,10902346,,,
381,SMC,49%,29887398,13716295,93.65967146,16171103,,,
382,SPM,49%,6860000,384250,11.43124888,6475750,,,
383,SRC,49%,13752224,24490,0.363429158,13727734,,,
384,SRF,49%,15922744,15240738,195.3403693,682006,,,
385,SSB,0%,0,89,0,-89,,,
386,SSI,100%,657305104,308127090,46.87733111,349178014,,,
387,ST8,49%,12603241,12620488,204.3609097,-17247,,,
388,STB,30%,565564714,231783917,136.6091338,333780797,,,
389,STG,49%,48144144,67084,0.284367134,48077060,,,
390,STK,49%,34656202,8011996,47.18062367,26644206,,,
