Symbol,Ma ISIN,Ma FIGI,Ten DN Niem Yet,KL dang ky NY,KLLH,Date,Sector
KMR,VN000000KMR2,BBG000BV0GH4,Công ty Cổ phần MIRAE,"56.881.443,00","56.877.807,00",23/06/2008,
KOS,VN000000KOS6,BBG00JF29HX4,Công ty Cổ phần KOSY,"216.481.335,00","216.481.335,00",8/7/19,
KPF,VN000000KPF0,BBG00C854RL6,Công ty Cổ phần Đầu tư Tài sản Koji,"60.867.241,00","60.867.241,00",18/02/2016,
KSB,VN000000KSB3,BBG000H9ZHS5,Công ty Cổ phần Khoáng sản và Xây dựng Bình Dương,"76.631.202,00","76.295.802,00",17/12/2009,
L10,VN000000L102,BBG000V0CJ18,Công ty Cổ phần Lilama 10,"9.890.000,00","9.790.000,00",11/12/07,
LAF,VN000000LAF0,BBG000MBB1G8,Công ty Cổ phần Chế biến Hàng xuất khẩu Long An,"14.728.019,00","14.728.019,00",11/12/00,
LBM,VN000000LBM4,BBG000QK5411,Công ty Cổ phần Khoáng sản và Vật liệu Xây dựng Lâm Đồng,"20.000.000,00","20.000.000,00",30/11/2006,
LCG,VN000000LCG4,BBG000RDD989,Công ty Cổ phần Lizen,"191.641.170,00","189.640.832,00",17/10/2008,
LCM,VN000000LCM2,BBG00227Y410,Công ty Cổ phần Khai thác và Chế biến Khoáng sản Lào Cai,"0,00","24.632.809,00",8/9/11,
LDG,VN000000LDG2,BBG009RRQXY3,Công ty Cổ phần Đầu tư LDG,"256.972.585,00","256.207.345,00",5/8/15,
LEC,VN000000LEC9,BBG00GW0PK42,Công ty Cổ phần Bất động sản Điện lực Miền Trung,"26.100.000,00","26.100.000,00",5/6/17,
LGC,VN000000LGC4,BBG000QMWHL6,Công ty Cổ phần Đầu tư Cầu Đường CII,"192.854.765,00","192.854.765,00",29/11/2006,
LGL,VN000000LGL5,BBG000PLL5F4,Công ty Cổ phần Đầu tư và Phát triển Đô thị Long Giang,"51.500.000,00","51.497.100,00",23/09/2009,
LHG,VN000000LHG3,BBG000QJKXD0,Công ty Cổ phần Long Hậu,"50.012.010,00","50.012.010,00",15/03/2010,
LIX,VN000000LIX6,BBG000PZ8L63,Công ty Cổ phần Bột giặt LIX,"32.400.000,00","32.400.000,00",1/12/09,
LM8,VN000000LM88,BBG0018PZ512,Công ty Cổ phần Lilama 18,"9.388.682,00","9.388.682,00",5/11/10,
LPB,VN000000LPB7,BBG00HVMW0G6,Ngân hàng Thương mại Cổ phần Bưu điện Liên Việt,"1.729.105.369,00","1.729.105.369,00",14/10/2020,
LSS,VN000000LSS5,BBG000PC7XS5,Công ty Cổ phần Mía đường Lam Sơn,"74.547.993,00","74.547.993,00",21/12/2007,
MBB,VN000000MBB5,BBG00270VT27,Ngân hàng Thương mại Cổ phần Quân Đội,"5.214.084.052,00","5.214.084.052,00",18/10/2011,
MCP,VN000000MCP3,BBG000QMWKF6,Công ty Cổ phần In và Bao bì Mỹ Châu,"15.071.337,00","15.052.615,00",18/12/2006,
MDG,VN000000MDG0,BBG001D1BJD2,Công ty Cổ phần Miền Đông,"10.889.031,00","10.324.781,00",5/1/11,
MHC,VN000000MHC0,BBG000BX72W7,Công ty Cổ phần MHC,"41.406.964,00","41.406.844,00",31/12/2004,
MIG,VN000000MIG9,BBG00GKB6R65,Tổng Công ty Cổ phần Bảo hiểm Quân đội,"164.450.000,00","164.450.000,00",30/12/2020,
MSB,VN000000MSB9,BBG00QYKTX60,Ngân hàng Thương mại Cổ phần Hàng Hải Việt Nam,"2.000.000.000,00","2.000.000.000,00",14/12/2020,
MSH,VN000000MSH6,BBG001BRND56,Công ty Cổ phần May Sông Hồng,"75.014.100,00","75.014.100,00",20/11/2018,
MSN,VN000000MSN4,BBG000PSPMZ6,Công ty Cổ phần Tập đoàn MaSan,"1.430.843.406,00","1.430.843.406,00",30/10/2009,
MWG,VN000000MWG0,BBG006S6NN42,Công ty Cổ phần Đầu tư Thế Giới Di Động,"1.463.376.716,00","1.462.560.047,00",7/7/14,
NAF,VN000000NAF6,BBG00B40DT75,Công ty Cổ phần Nafoods Group,"50.564.152,00","50.564.090,00",28/09/2015,
NAV,VN000000NAV3,BBG000QMCVS0,Công ty Cổ phần Nam Việt,"8.000.000,00","7.999.980,00",30/11/2006,
NBB,VN000000NBB3,BBG000TJKMX9,Công ty Cổ phần Đầu tư Năm Bảy Bảy,"100.475.656,00","100.159.795,00",20/11/2008,
NCT,VN000000NCT3,BBG007R0PVT7,Công ty Cổ phần Dịch vụ Hàng hóa Nội Bài,"26.166.940,00","26.165.732,00",9/12/14,
