Symbol,Ma ISIN,Ma FIGI,Ten DN Niem Yet,KL dang ky NY,KLLH,Date,Sector
SHB,VN000000SHB9,BBG000G88YK9,Ngân hàng TMCP Sài Gòn – Hà Nội,"3.067.383.196,00","3.618.901.927,00",20/09/2021,
SHI,VN000000SHI4,BBG000Q3SY27,Công ty Cổ phần Quốc tế Sơn Hà,"162.176.449,00","161.857.589,00",23/12/2009,
SHP,VN000000SHP9,BBG0015Y8H38,Công ty Cổ phần Thủy điện Miền Nam,"101.206.352,00","101.206.352,00",14/07/2014,
SIP,VN000000SIP7,BBG00PBQWN53,Công ty Cổ phần Đầu tư Sài Gòn VRG,"90.904.146,00","90.904.146,00",29/06/2023,
SJD,VN000000SJD1,BBG000QMWZB7,Công ty Cổ phần Thủy điện Cần Đơn,"68.998.620,00","68.998.620,00",11/12/06,
SJF,VN000000SJF6,BBG00H0JKDH1,Công ty Cổ phần Đầu tư Sao Thái Dương,"79.200.000,00","79.200.000,00",19/06/2017,
SJS,VN000000SJS9,BBG000PT9TZ7,Công ty Cổ phần Đầu tư Phát triển Đô thị và Khu công nghiệp Sông Đà,"114.855.540,00","113.897.480,00",11/5/06,
SKG,VN000000SKG2,BBG006JBZKR9,Công ty Cổ phần Tàu cao tốc Superdong – Kiên Giang,"63.331.735,00","63.331.735,00",16/05/2014,
SMA,VN000000SMA1,BBG00170KPB9,Công ty Cổ phần Thiết bị Phụ tùng Sài Gòn,"20.352.836,00","20.352.836,00",23/09/2010,
SMB,VN000000SMB9,BBG0014WQCL4,Công ty Cổ phần Bia Sài Gòn - Miền Trung,"29.846.648,00","29.846.648,00",27/06/2018,
SMC,VN000000SMC7,BBG000DNHW50,Công ty Cổ phần Đầu tư Thương mại SMC,"73.678.587,00","73.606.837,00",29/09/2006,
SPM,VN000000SPM9,BBG000BXHW05,Công ty Cổ phần SPM,"14.000.000,00","13.770.000,00",7/5/10,
SRC,VN000000SRC6,BBG000BDVD96,Công ty Cổ phần Cao su Sao Vàng,"28.065.765,00","28.063.368,00",23/09/2009,
SRF,VN000000SRF9,BBG000D0BT26,Công ty Cổ phần SEAREFICO,"35.566.780,00","33.786.780,00",5/10/09,
SSB,VN000000SSB6,BBG009CXDMM7,Ngân hàng Thương mại Cổ phần Đông Nam Á,"2.453.700.000,00","2.453.700.000,00",30/12/2020,
SSC,VN000000SSC4,BBG000Q5LYX5,Công ty Cổ phần Giống Cây trồng Miền Nam,"14.992.367,00","13.271.785,00",29/12/2004,
SSI,VN000000SSI1,BBG000BN4F44,Công ty Cổ phần Chứng khoán SSI,"1.491.130.137,00","1.499.138.669,00",18/10/2007,
ST8,VN000000ST84,BBG000V0CKG9,Công ty Cổ phần Đầu tư Phát triển ST8,"25.720.902,00","25.720.902,00",10/12/07,
STB,VN000000STB4,BBG000D7H4Y5,Ngân hàng Thương mại Cổ phần Sài Gòn Thương Tín,"1.885.215.716,00","1.885.215.716,00",2/6/06,
STG,VN000000STG3,BBG000QCZXG6,Công ty Cổ phần Kho vận Miền Nam,"98.253.357,00","98.253.357,00",4/2/10,
STK,VN000000STK5,BBG00B06W3Q1,Công ty Cổ phần Sợi Thế Kỷ,"96.636.924,00","94.095.274,00",10/9/15,
SVC,VN000000SVC8,BBG000QRLCQ3,Công ty Cổ phần Dịch vụ Tổng hợp Sài Gòn,"66.630.564,00","66.620.064,00",27/05/2009,
SVD,VN000000SVD6,BBG00YNMBPM9,Công ty Cổ phần Đầu tư & Thương mại Vũ Đăng,"27.605.908,00","27.605.908,00",23/12/2020,
SVI,VN000000SVI5,BBG000GN2XC3,Công ty Cổ phần Bao bì Biên Hòa,"12.832.437,00","12.832.437,00",5/3/12,
SVT,VN000000SVT2,BBG0022D5X60,Công ty Cổ phần Công nghệ Sài Gòn Viễn Đông,"15.053.369,00","15.053.369,00",26/07/2011,
SZC,VN000000SZC9,BBG00FM26TY0,Công ty Cổ phần Sonadezi Châu Đức,"100.000.000,00","119.999.961,00",18/12/2018,
SZL,VN000000SZL0,BBG000BNY437,Công ty Cổ phần Sonadezi Long Thành,"20.000.000,00","18.190.900,00",15/08/2008,
